bare,translations_en
несгораемый,fire-proof
безденежный,impecunious
термический,thermal
голосистый,loud-voiced
первородный,first-born
неподкупный,incorruptible
бронебойный,armour-piercing
разговорный,colloquial
задорный,fervent
поступательный,forward
окопный,trench
циклический,cyclic
отрывочный,fragmentary
древнерусский,Old Russian
афинский,Athenian
пророческий,prophetic
маньчжурский,Manchurian
казацкий,Adjective of казак
заградительный,barrage
долларовый,dollar
недвусмысленный,unequivocal
алчный,grasping
вековечный,everlasting
кокосовый,Adjective of кокоскокосовый
пристрастный,partial
ортодоксальный,orthodox
изворотливый,dodgy
неверующий,unbelieving
недозволенный,unlawful
инакомыслящий,differently minded
сыновний,filial
убыточный,unprofitable
самодостаточный,self-sufficient
неиссякаемый,inexhaustible
взрывчатый,explosive
обременительный,burdensome
пустячный,trifling
темноволосый,dark-haired
еженедельный,weekly
многоуважаемый,respected
исправительный,correctional
сыромятный,raw
разнородный,heterogeneous
вражий,enemy
погодный,yearly
колокольный,Adjective of колоколколокольный
импозантный,imposing
ледниковый,glacial
протокольный,Adjective of протоколпротокольный
недружелюбный,unfriendly
лобный,frontal
недоношенный,prematurely born
федеративный,federative
коротконогий,short-legged
всезнающий,all-knowing
великосветский,society
клятвенный,on oath
бодрящий,bracing
биохимический,biochemical
лицейский,Adjective of лицейлицейские
сыроватый,dampish
безболезненный,painless
сернистый,sulphureous
неимущий,indigent
курительный,smoking
ревматический,rheumatic
огуречный,Adjective of огурецогуречная
вящий,greater
приторный,sickly sweet
квартальный,quarterly
подорожный,on the road
ушной,Adjective of ухо
эгоистический,selfish
аргентинский,Argentine
некультурный,uneducated
греховный,sinful
черепной,cranial
бронетанковый,armoured
грудастый,big-bosomed
карнавальный,carnival
покаянный,penitential
штурманский,navigating
оптимистичный,optimistic
общедоступный,of moderate price
ежесекундный,occurring every second
развратный,lecherous
колыбельный,Adjective of колыбельколыбельная
туповатый,dullish
содовый,soda
тибетский,Tibetan
приятельский,friendly
гнилостный,putrefactive
онкологический,oncologic
бессрочный,with no fixed terms without time-limit
надтреснутый,cracked
чахоточный,consumptive
некорректный,tactless
экстраординарный,extraordinary
эпический,epic
благодарственный,expressing thanks
консультативный,consultative
равноценный,equivalent
латентный,latent
тавровый,T-shaped
незрелый,unripe
неприхотливый,unpretentious
созвучный,consonant
многонациональный,multinational
безалкогольный,non-alcoholic
безоговорочный,unreserved
гербовый,heraldic
маршевый,Adjective of марш
панцирный,testaceous
бальный,Adjective of балбальное
сосущий,suctorial
безродный,without kith or kin
прусский,Prussian
нотариальный,notarial
ничейный,drawn
переменчивый,changeable
клубничный,strawberry
переливчатый,iridescent
изнурённый,physically exhausted
паркетный,parquet
человекообразный,anthropomorphous
редакторский,editorial
албанский,Albanian
пунктуальный,punctual
белогвардейский,Adjective of белогвардеец
экскурсионный,excursion
бубновый,of diamonds
беспардонный,shameless
чопорный,stiff
макаронный,Adjective of макаронымакаронные
кожевенный,leather-dressing
недоразвитый,underdeveloped
пистолетный,pistol
коричневатый,brownish
одушевлённый,animated
непочтительный,disrespectful
безличный,without personality
самоубийственный,suicidal
привольный,free
нерегулярный,irregular
отживший,obsolete
потешный,funny
тесовый,board
паскудный,foul
членский,membership
ёмкий,capacious
дровяной,Adjective of дровадровяной
взаимовыгодный,mutually beneficial
ингушский,Ingush
песенный,song
мускульный,muscular
поздравительный,congratulatory
окольный,roundabout
благотворный,beneficial
капроновый,kapron
колкий,cleavable
миндальный,Adjective of миндальминдальное
неоправданный,unjustified
совместимый,compatible
преходящий,transient
кровянистый,with blood
осуществимый,practicable
неблагополучный,unhappy
ратный,military
безалаберный,disorderly
якутский,Yakut
увеселительный,pleasure
обзорный,Adjective of обзор
краеведческий,Adjective of краеведениекраеведческий
изменчивый,changeable
гомосексуальный,homosexual
самовлюблённый,self-enamoured
рыжебородый,red-bearded
дипломированный,graduate
необдуманный,rash
вышеприведённый,afore-cited
подспудный,latent
сакраментальный,sacramental
зазорный,dishonourable
паразитический,parasitic
методологический,methodological
башенный,Adjective of башнябашенные
медикаментозный,Adjective of медикаментымедикаментозное
артистичный,artistic
соборный,Adjective of собор
придаточный,additional
незлобивый,gentle
неискушённый,inexperienced
склочный,troublesome
ольховый,Adjective of ольхаольховая
патетический,passionate
заоблачный,beyond the clouds
цивильный,civil
озимый,winter
повсеместный,occurring everywhere
воодушевлённый,enthusiastic
неопасный,not dangerous
дисциплинарный,disciplinary
ошалелый,crazy
подводный,submarine
настоятельный,insistent
тигровый,tiger
безуспешный,unsuccessful
бесталанный,untalented
иссохший,shrivelled
алтайский,Altai
прохладительный,refreshing
преисполненный,full
бесцельный,aimless
пикирующий,dive
комичный,comical
вяжущий,II
чистоплотный,clean
своенравный,wilful
вышесказанный,aforesaid
аскетический,ascetic
португальский,Portuguese
испытуемый,examinee
навигационный,Adjective of навигация
лингвистический,linguistic
просветительский,Adjective of просветитель
новомодный,in the latest fashion
синхронный,synchronous
тряский,jolty
бравурный,bravura
благочестивый,pious
наказуемый,punishable
трубчатый,tubular
безголовый,headless
экзаменационный,Adjective of экзаменэкзаменационная
глинобитный,wattle and daub
ритмический,rhythmic
плодовый,Adjective of плод
премудрый,wise
лоскутный,scrappy
гусарский,Adjective of гусар
струнный,stringed
моторизованный,motorized
задиристый,cocky
бесправный,without rights
болеутоляющий,sedative analgesic
нематериальный,non-material
простудный,catarrhal
росистый,dewy
полемический,controversial
морфологический,morphological
невезучий,luckless
эмпирический,empiric
нравоучительный,moralizing
аномальный,anomalous
броский,garish
сонливый,sleepy
сословный,class
токарный,turning
непритязательный,modest
баварский,Bavarian
злопамятный,rancorous
коньячный,Adjective of коньяк
банановый,Adjective of банан
берестяной,Adjective of берёста
бесхвостый,tailless
нелюдимый,unsociable
зернистый,grainy
малочисленный,small in numbers
артельный,Adjective of артель
нетленный,imperishable
идеалистический,idealist
баронский,baronial
эвенкийский,Evenk
несогласный,dissenting
монашеский,monastic
рассыпчатый,crumbly
великовозрастный,overgrown
разодетый,done up
клюквенный,cranberry
миллиардный,milliardth
антисемитский,anti-Semitic
зеленоглазый,green-eyed
пригласительный,invitation
разъяснительный,explanatory
измерительный,measuring
стекловидный,glassy
гулящий,idle
свободолюбивый,freedom-loving
волнообразный,undulating
спорый,quick
заиндевелый,covered with hoar-frost
шалый,mad
коматозный,comatose
старорежимный,of the old regime
многоголосый,many-voiced
рьяный,zealous
среднеазиатский,Central Asiatic
обворожительный,fascinating
вихрастый,shaggy
вальяжный,impressive
пробковый,cork
тождественный,identical
слабонервный,nervous
неделимый,indivisible
плюгавый,mean
бактериальный,bacterial
годичный,of a year
видовой,specific
эксплуатационный,operation
шумливый,noisy
шероховатый,rough
материковый,Adjective of материк
разношёрстный,with different coats
этиловый,Adjective of этилэтиловый
камышовый,Adjective of камышкамышовое
меченый,marked
отверженный,outcast
беличий,Adjective of белкабеличий
вечнозелёный,evergreen
хаотический,chaotic
грибковый,fungoid
быстроходный,high-speed
неустанный,tireless
басовый,bass
голенастый,long-legged
планёрный,Adjective of планёрпланёрный
плавательный,swimming
блочный,sectional
вычурный,fanciful
слякотный,slushy
пакостный,dirty
скученный,dense
певчий,singing
ярмарочный,Adjective of ярмарка
стеснённый,straitened
разборчивый,legible
мозолистый,callous
катаральный,catarrhal
вакантный,vacant
замковый,Adjective of замок
общепризнанный,universally recognized
позвоночный,vertebral
солоноватый,saltish
непогрешимый,infallible
прожекторный,searchlight
вышеназванный,afore-named
приватный,private
преднамеренный,premeditated
быстротечный,fleeting transient
сутуловатый,round-shouldered
трудоёмкий,labour-intensive
скрипичный,violin
вешний,spring
чесучовый,tussore
бобовый,leguminous
тематический,subject
азотный,nitric
безвоздушный,airless
червячный,worm
занудный,boring
молодецкий,valiant
монархический,monarchist
плёвый,trifling
беспринципный,unprincipled
всевидящий,all-seeing
агатовый,agate
безгласный,mute
морёный,stained
гармонический,harmonious
драматичный,dramatic
жаропонижающий,febrifugal
щетинистый,bristly
бескрылый,wingless
сливовый,plum
надсадный,back-breaking
картавый,pronounced gutturally
организаторский,Adjective of организаторорганизаторский
смачный,savoury
гинекологический,gynaecological
пигментный,pigmental
вёрткий,nimble
судостроительный,shipbuilding
непризнанный,unacknowledged
говяжий,Adjective of говядинаговяжье
бесприютный,homeless
слабосильный,weak
алфавитный,alphabetical
пучеглазый,goggle-eyed
членораздельный,articulate
коленчатый,elbow
результативный,effective
ножной,Adjective of ноганожная
красногвардейский,Red Guard
крокодиловый,crocodile
нечётный,odd
маршрутный,Adjective of маршрутмаршрутный
методический,systematic
карантинный,Adjective of карантинкарантинное
каверзный,tricky
диетический,dietary
ругательный,abusive
лиственный,deciduous
меланхолический,melancholy
дремотный,drowsy
символичный,symbolistic
льдистый,icy
увеличительный,magnifying
свойский,simple
инвентарный,Adjective of инвентарьинвентарный
истёртый,worn
нечестивый,impious
плохонький,rather bad
безгрешный,sinless
кипарисовый,Adjective of кипарискипарисовая
взбалмошный,unbalanced
простоволосый,bare-headed
бесславный,ignominious
аптекарский,pharmaceutical
темнокожий,dark-skinned
солидарный,united
парниковый,hotbed
шоссейный,Adjective of шоссешоссейная
целинный,virgin
мазутный,Adjective of мазутмазутные
соевый,soy-bean
облечённый,invested
троекратный,thrice-repeated
бесклассовый,classless
каучуковый,Adjective of каучук
аляповатый,clumsy
эпохальный,epochal
геодезический,geodesic
торпедный,torpedo
слоистый,flaky
расходный,Adjective of расходрасходная
цензурный,censorial
вредительский,Adjective of вредитель
высокоразвитый,highly developed
экваториальный,equatorial
губастый,thick-lipped
нештатный,supernumerary
любвеобильный,loving
мощёный,paved
шуточный,comic
бисерный,very small
гангстерский,Adjective of гангстер
анекдотический,anecdotal
белёный,bleached
белоголовый,white-haired
забайкальский,Transbaikal
неорганический,inorganic
планетный,planetary
вокальный,vocal
неорганизованный,unorganized
надрывный,hysterical
ораторский,oratorical
подверженный,subject
бессчётный,innumerable
бросовый,worthless
грошовый,not worth a farthing
вьючный,pack
стародавний,ancient
амбициозный,ambitious
малоимущий,poor
двойственный,dual
отлогий,sloping
асимметричный,asymmetric
напыщенный,pompous
ханский,Adjective of хан
кремнёвый,made of flint
обдуманный,deliberate
хвалебный,laudatory
сопоставимый,comparable
бессердечный,heartless
чужеземный,strange
атеистический,atheistic
взыскательный,exacting
тяжеловатый,heavyish
предохранительный,preservative
публицистический,publicistic
тонконогий,slim-legged
тиснёный,stamped
васильковый,cornflower blue
нижестоящий,subordinate
изнеженный,delicate
клочковатый,tufted
извинительный,pardonable
абрикосовый,apricot
родниковый,spring
экзальтированный,in a state of exaltation
киргизский,Kirghiz
антирелигиозный,anti-religious
пижамный,pyjama
дутый,hollow
разделительный,dividing
отборочный,elimination
журавлиный,Adjective of журавль
наждачный,Adjective of наждакнаждачная
западногерманский,West German
легковерный,credulous
назидательный,edifying
донорский,Adjective of донор
автобиографический,autobiographic
сургучный,sealing-wax
торный,even
рыболовецкий,fishing
вегетарианский,vegetarian
неблаговидный,improper
беспримерный,unexampled
мочёный,soaked
неразгаданный,unguessed
неаккуратный,inexact
павлиний,Adjective of павлин
бестелесный,immaterial
одиозный,offensive
недолговечный,short-lived
дебелый,plump
крапивный,Adjective of крапива
нечистоплотный,dirty
быстроногий,swift-footed
платонический,Platonic
спекулятивный,speculative
полуночный,midnight
сварочный,welding
державный,majestic
архаический,archaic
гоночный,racing
чемпионский,Adjective of чемпион
ураганный,hurricane
непромокаемый,waterproof
координационный,co-ordinating
позволительный,permissible
злющий,furious
штучный,piece
делимый,divisible
добродетельный,virtuous
климактерический,climacteric
опознавательный,distinguishing
неявный,implicit
недобросовестный,lacking in conscientiousness
превентивный,preventive
эпизодический,episodic
бенгальский,Bengal
расистский,racist
зачётный,Adjective of зачёт
нечастый,infrequent
велеречивый,pompous
марокканский,Moroccan
многогранный,polyhedral
набожный,devout
рекомендательный,Adjective of рекомендациярекомендательное
сановный,of exalted rank
круглоголовый,round-headed
беспрекословный,absolute
прозорливый,sagacious
слаженный,harmonious
тазовый,pelvic
типический,typical
авторитарный,authoritarian
иногородний,of another town
отходчивый,easily appeased
неутолимый,unquenchable
безбожный,godless
лощёный,polished
мотивированный,motivational
ароматический,aromatic
благоуханный,fragrant
привередливый,fastidious
овчинный,Adjective of овчинаовчинный
перезрелый,overripe
латиноамериканский,Latin-American
ивовый,Adjective of ива
нелогичный,illogical
сопредельный,contiguous
скрупулёзный,scrupulous
горемычный,hapless
умилённый,touched
можжевёловый,juniper
обольстительный,seductive
причальный,mooring
боеспособный,efficient
внебрачный,extramarital
неприятельский,hostile
неуравновешенный,unbalanced
седобородый,grey-bearded
коллекционный,collection
трудоспособный,able-bodied
чётный,even
надобный,necessary
континентальный,continental
плавный,smooth
неврологический,neurologic
несоизмеримый,incommensurable
безводный,waterless
разверстый,open
домотканый,homespun
пронырливый,pushing
масленый,buttered
собирательный,collective
порченый,spoiled
безлунный,moonless
неотвязный,importunate
чудаковатый,somewhat eccentric
уменьшительный,diminishing
несоразмерный,disproportionate
неискренний,insincere
сенсорный,sensory
темноватый,darkish
амурный,love
сговорчивый,compliant
энный,unspecified
невоспитанный,ill-bred
ячменный,barley
диаметральный,diametral
чернобровый,dark-browed
моментальный,instantaneous
краеугольный,basic
септический,septic
малахитовый,Adjective of малахит
слащавый,sugary
спиральный,spiral
протестантский,Protestant
лупоглазый,goggle-eyed
цветистый,flowery
обморочный,Adjective of обморокобморочное
спесивый,arrogant
сладенький,sweetish
пародийный,parody
степенный,staid
витаминный,vitaminous
слабоватый,rather bad
неподатливый,tenacious
глубокоуважаемый,dear
скоропалительный,hasty
подведомственный,within the jurisdiction
святейший,most holy
иезуитский,Adjective of иезуит
репрессивный,repressive
помпезный,pompous
заплесневелый,mouldy
заношенный,worn
напольный,floor
ворсистый,fleecy
поощрительный,encouraging
гарантийный,guarantee
курьерский,Adjective of курьер
неправомерный,illegal
тяжелораненый,seriously wounded man
ткацкий,weaving
персиковый,peachy
уклончивый,evasive
правомерный,rightful
малоподвижный,not mobile
рачительный,zealous
пихтовый,fir
хлопчатобумажный,cotton
широкогрудый,broad-chested
многоступенчатый,multi-stage
чванливый,swaggering
неуважительный,inadequate
двухсотый,two-hundredth
нержавеющий,non-rusting
резонный,reasonable
слоёный,puff
чернорабочий,unskilled labourer
малозаметный,hardly out of the ordinary
послеобеденный,after-dinner
небезынтересный,not without interest
соболиный,sable
седельный,Adjective of седлоседельная
свинский,swinish
увечный,maimed
высоковольтный,high-voltage
громоподобный,thunderous
проверочный,verifying
невозвратимый,irrevocable
своевольный,self-willed
кровельный,roofing
сверлильный,drilling
мшистый,mossy
наболевший,sore
определимый,definable
обличительный,revealing
всепоглощающий,all-absorbing
самоварный,Samovar - A metal container used to heat and boil water
домовитый,thrifty
велюровый,Adjective of велюр
черепаший,Adjective of черепаха
пеньковый,hempen
утлый,fragile
квёлый,weakly
босоногий,barefooted
червивый,worm-eaten
возбудимый,excitable
адмиральский,Adjective of адмираладмиральский
луковый,Adjective of лук
сумбурный,confused
усечённый,truncated
неласковый,cold
никотиновый,Adjective of никотин
кисловатый,sourish
слюнный,salivary
садистский,sadistic
разноголосый,discordant
тростниковый,reed
выборочный,selective
гомерический,Homeric
бесконтрольный,uncontrolled
претенциозный,pretentious
вдовий,Adjective of вдовавдовья
метрический,metric
дрессированный,trained
неженатый,unmarried
мажорный,major
кособокий,crooked
несвоевременный,inopportune
сувенирный,souvenir
корреспондентский,Adjective of корреспонденткорреспондентское
лежалый,stale
архаичный,archaic
импульсивный,impulsive
гаубичный,Adjective of гаубица
ротовой,Adjective of рот
неаполитанский,Neapolitan
панельный,Adjective of панельпанельное
прижимистый,close-fisted
беспочвенный,groundless
протяжённый,extensive
утилитарный,utilitarian
твердокаменный,steadfast
лосиный,Adjective of лось
компромиссный,compromise
двоякий,double
неугасимый,inextinguishable
ряженый,mummer
доходчивый,intelligible
гранатовый,pomegranate
ценностный,value
неравномерный,uneven
урожайный,Adjective of урожайурожайный
карандашный,Adjective of карандашкарандашный
черноусый,with a black moustache
обветшалый,decrepit
несведущий,ignorant
громогласный,loud
квантовый,Adjective of квантквантовая
экономичный,economical
правобережный,situated on the right bank
ленный,feudal
голословный,unsubstantiated
черепаховый,Adjective of черепахачерепаховый
охочий,keen
межправительственный,intergovernmental
длинноносый,long-nosed
палубный,Adjective of палуба
чековый,Adjective of чек
среднемесячный,average monthly
неосуществимый,impracticable
кисейный,Adjective of кисея
кварцевый,Adjective of кварцкварцевая
белесоватый,whitish
психомоторный,psychomotor
золотоволосый,golden-haired
напутственный,parting
безволосый,hairless
безвозмездный,gratuitous
доменный,Adjective of домнадоменная
распределительный,distributive
генеалогический,genealogical
непоседливый,restless
тюлевый,tulle
рельсовый,rail
неосмотрительный,rash
соответственный,corresponding
приходский,parochial
болезнетворный,pathogenic
травоядный,herbivorous
радиальный,radial
сыгранный,perfectly co-ordinated
аллегорический,allegoric
пригожий,comely
теологический,theocracy
малогабаритный,small
золотушный,scrofulous
кульминационный,Adjective of кульминациякульминационный
щучий,Adjective of щука
пересыльный,transit
норковый,Adjective of норка
сивушный,fusel
рачий,crayfish
аэродинамический,aerodynamical
неустроенный,unsettled
титановый,titanic
монопольный,monopolistic
пленарный,plenary
прилагательное,adject-
конический,conic
сверхурочный,overtime
елейный,unctuous
тошный,tiresome
консульский,consular
органичный,organic
опереточный,Adjective of оперетта
аморфный,amorphous
лакейский,Adjective of лакей
эпидемический,epidemic
тканевый,tissue
соколиный,Adjective of соколсоколиная
аховый,hopelessly bad
затылочный,cervical
спартанский,Spartan
докучливый,tiresome
эллинский,Hellenic
муаровый,moire
конвульсивный,convulsive
позиционный,Adjective of позицияпозиционная
компанейский,sociable
жидкостный,fluid
эпидемиологический,epidemiological
бестрепетный,intrepid
игольчатый,needle-shaped
умилительный,touching
сероглазый,grey-eyed
акробатический,acrobatic
путеводный,guiding
курьёзный,curious
светлоглазый,bright-eyed
кочковатый,abounding in
распутный,dissolute
осевой,axial
окаменелый,petrified
жанровый,Adjective of жанржанровая
слабоумный,imbecile
межгосударственный,intergovernmental
изобильный,abundant
заполярный,polar
благонамеренный,loyal
безбоязненный,fearless
седоусый,with grey moustaches
меркантильный,mercantile
эвкалиптовый,Adjective of эвкалиптэвкалиптовое
завзятый,inveterate
опустелый,deserted
псиный,dog
метательный,missile
инспекционный,Adjective of инспекцияинспекционная
антинародный,anti-popular
беспородный,not thoroughbred
мозаичный,tessellated
уступчивый,yielding
беспредметный,pointless
некрепкий,rather weak
посреднический,intermediary
акцизный,Adjective of акцизакцизный
стадный,gregarious
драчливый,pugnacious
желтушный,icteric
исхудалый,emaciated
полновластный,sovereign
разрядный,Adjective of разряд
полноводный,full-flowing
ирригационный,irrigation
неразрывный,indissoluble
кассационный,Adjective of кассациякассационный
шапочный,Adjective of шапка
холодильный,refrigeratory
ассирийский,Assyrian
долгополый,long-skirted
промысловый,commercial
субтропический,subtropical
карпатский,Carpathian
нисходящий,descending
бережливый,thrifty
неразделимый,indivisible
плебейский,plebeian
респираторный,respiratory
наваристый,rich
неоглядный,boundless
авангардный,vanguard
треснутый,cracked
невосполнимый,irreplaceable
неодинаковый,unequal
буковый,beechen
коленкоровый,Adjective of коленкор
замогильный,sepulchral
диктаторский,dictatorial
хронологический,chronological
имманентный,immanent
герметический,hermetic
кустистый,bushy
непечатный,unprintable
мельничный,Adjective of мельница
пластичный,plastic
поруганный,profaned
доказательный,demonstrative
кручёный,twisted
осадный,siege
наречённый,betrothed
несвязный,incoherent
галантерейный,courtly
иносказательный,allegorical
смекалистый,sharp
необоримый,Overpowering
шаловливый,playful
александрийский,Alexandrine
жизнеспособный,viable
пупочный,umbilical
душещипательный,soulful
неподражаемый,inimitable
нижеследующий,following
обвислый,flabby
неотёсанный,rough
желтолицый,with a yellow face
несчётный,innumerable
прагматический,pragmatic
нервозный,nervous
беспроигрышный,safe
головоломный,puzzling
равнинный,Adjective of равнинаравнинный
ненатуральный,affected
безотрадный,cheerless
пессимистический,pessimistic
порядковый,ordinal
заморённый,emaciated
лучше,better
меньше,smaller
рад,am
временной,temporal
ведущий,chief
развитой,developed
невинный,innocent
научно-исследовательский,research
двусторонний,double-sided
погибший,lost
семантический,semantic
двухэтажный,two-storeyed
крымский,Crimean
майский,May-Day
рождественский,Christmas
радиолокационный,radio-locating
богословский,theological
ипотечный,hypothecary
однозначный,unambiguous
северо-западный,north-west
апелляционный,Adjective of апелляцияапелляционный
односторонний,one-sided
миграционный,migratory
однородный,homogeneous
излишне,it is unnecessary
пятилетний,of five years
юго-восточный,south-east
полимерный,polymeric
бабушкин,Adjective of бабушка
одноимённый,of the same name
однообразный,monotonous
заслуженный,deserved
двухкомнатный,two-room
трёхмерный,three-dimensional
унитарный,unitary
десятилетний,of ten years
трёхлетний,of three years
противовоздушный,anti-aircraft
однокомнатный,one-room
растерянный,confused
сводный,summary
образный,figurative
градостроительный,town-planning
законченный,finished
олигархический,oligarchic
рудный,ore
заострённый,pointed
потрясающий,staggering
предполагаемый,supposed
парный,pair
тёмно-синий,dark-blue
согласованный,co-ordinated
полутёмный,dark
гидравлический,hydraulic
патриарший,Adjective of патриарх
расширенный,broadened
радиационный,radiation
оценочный,Adjective of оценка
двусмысленный,ambiguous
календарный,calendar
трёхкомнатный,three-room
прославленный,famous
синтаксический,syntactic
юго-западный,south-west
развёрнутый,unfolded
внешнеторговый,foreign trade
захватывающий,keen
проверенный,proved
хмельной,intoxicating
двукратный,twofold
одноэтажный,one-storeyed
двухлетний,of two years
неправый,unjust
оправданный,justified
патентный,patent
предшествующий,previous
продуманный,thought-out
противоракетный,anti-missile
воображаемый,imaginary
тренерский,Adjective of тренер
спектральный,spectral
трёхэтажный,three-storeyed
якорный,anchor
ближневосточный,Near-Eastern
ветхозаветный,Old Testament
епархиальный,diocesan
комедийный,comic
коммуникативный,communicative
ненадлежащий,not right
продвинутый,advanced
раскалённый,scorching
северо-восточный,north-east
семилетний,of seven years
двухместный,two-seater
мелочный,small-minded
многосторонний,polygonal
расстроенный,sad
тектонический,tectonic
чудной,odd
геохимический,geochemical
гриппозный,influenzal
композиционный,Adjective of композиция
миссионерский,Adjective of миссионер
нечёткий,careless
полупрозрачный,semi-transparent
исполнительский,Adjective of исполнитель
преобладающий,predominant
чукотский,Chukchi
испорченный,spoiled
отделочный,finishing
автотранспортный,motor transport
боярский,boyar
возбуждённый,excited
надводный,above-water
осмысленный,intelligent
равносильный,equivalent
сейсмический,seismic
сосредоточенный,concentrated
шестилетний,of six years
башкирский,Bashkir
долговечный,long-lived
завершающий,concluding
ионный,ionic
конвейерный,Adjective of конвейерконвейерная
неоднородный,heterogeneous
онтологический,ontological
потрёпанный,shabby
ступенчатый,stepped
четырёхлетний,of four years
единовременный,only once
контейнерный,container
кредиторский,Adjective of кредитор
полуголый,half-naked
почвенный,soil
пятнадцатилетний,of fifteen years
рентабельный,profitable
чудотворный,wonder-working
безналичный,without cash transfer
конъюнктурный,Adjective of конъюнктура
кратный,divisible
лексический,lexical
отсутствующий,absentee
подавляющий,overwhelming
распространённый,widespread
замедленный,slow
инертный,inert
коллегиальный,collective
новаторский,innovatory
обеспеченный,well-to-do
полуоткрытый,half-open
прокатный,let out on hire
противопоказанный,counter-indicative
съёмный,demountable
торжествующий,triumphant
кинетический,kinetic
тяговый,tractive
подконтрольный,under control
взволнованный,agitated
разносторонний,scalene
электрохимический,electrochemical
вербальный,verbal
восьмилетний,of eight years
обшарпанный,ragged
подержанный,second-hand
сокращённый,brief
общегосударственный,national
асимметрический,asymmetric
абонементный,subscription
абортивный,abortive
абразивный,abrasive
абсолютистский,absolutist
абстракционистский,abstractionist
авангардистский,avant-garde
авантажный,fine
авантюристический,adventurist
аварский,Avarian
авральный,emergency
автогенный,autogenous
автодорожный,road-transport
автократический,autocratic
авторемонтный,car repair service
авторизованный,authorized
автотракторный,motor and tractor
агглютинативный,agglutinative
агглютинирующий,agglutinating
агробиологический,agrobiological
агрономический,agricultural
агротехнический,agrotechnical
адвербиальный,adverbial
аджарский,Adzharian
адыгейский,Adygei
азотистый,nitrous
азотнокислый,nitric acid
айвовый,quince
академичный,abstract
аквамариновый,aquamarine
акушерский,obstetric
акцентный,accent
алгебраический,algebraic
алгоритмический,algorithmic
алеутский,Aleutian
алжирский,Algerian
аллегоричный,allegorical
аллопатический,allopathic
аллювиальный,alluvial
альбуминный,albuminous
альвеолярный,alveolar
альтруистический,altruistic
аметистовый,amethyst
аммиачный,ammoniac
амортизационный,amortization
ампирный,Empire-style
анакреонтический,anacreontic
аналогический,analogic
анальный,anal
ананасный,pineapple
ананасовый,pineapple
анархический,anarchic
анархичный,anarchic
анахронический,anachronistic
анахроничный,anachronistic
англиканский,Anglican
англо-американский,Anglo-American
ангорский,Angora
анекдотичный,improbable
анемический,anaemic
анемичный,anaemic
анестезиологический,anaesthetic
анестезирующий,anaesthetic
анимистический,animistic
анисовый,anise
анодный,anodic
анормальный,abnormal
антагонистический,antagonistic
антигигиенический,unhygienic
антигосударственный,antistate
антидемократический,anti-democratic
антиимпериалистический,anti-imperialist
антиисторический,unhistorical
антиколониальный,anti-colonial
антинаучный,anti-scientific
антиобщественный,anti-social
антипатичный,antipathetic
антитетический,antithetic
антитоксический,antitoxic
антифашистский,anti-fascist
антологический,anthological
антрацитный,anthracitic
антрацитовый,anthracitic
антропологический,anthropological
антропометрический,anthropometric
антропоморфный,anthropomorphous
апатичный,apathetic
апокалипсический,apocalyptic
аполитичный,apolitical
апоплексический,apoplectic
апостериорный,a posteriori
апостольский,apostolic
апперцептивный,apperceptive
апперцепционный,apperceptive
априорный,a priori
аравийский,Arabian
арахисовый,peanut
арготический,slang
аристократичный,aristocratic
аритмичный,unrhythmical
ароматичный,aromatic
арочный,arched
архитектонический,architectonic
асбестовый,asbestos
асептический,aseptic
ассимилятивный,assimilative
астенический,asthenic
астигматический,astigmatic
астматический,asthmatic
атавистический,atavistic
атласистый,satiny
атомистический,atomistic
атонический,atonic
атрибутивный,attributive
аттический,Attic
аукционный,auction
аутентический,authentic
аутентичный,authentic
афористичный,aphoristic
ахроматический,achromatic
ацетатный,acetate
ацетоновый,acetone
аэробный,aerobic
аэрозольный,aerosol
аэронавигационный,aeronavigation
базальтовый,basalt
байдарочный,kayak
байронический,Byronic
бакалейный,grocery
баклажанный,aubergine
бактерийный,bacterial
бактерицидный,bactericidal
балкарский,Balkar
балованный,pampered
бальзамический,balsamic
бальнеологический,balneological
банкирский,banking
барашковый,lambskin
бариевый,baric
баритональный,baritonal
барометрический,barometric
баррикадный,barricade
барщинный,corvee
баскский,Basque
бахромчатый,fringed
башковитый,clever
бедренный,femoral
безаварийный,having had no accident
безатомный,atom-free
безбедный,comfortable
безбилетный,without a ticket
безбородый,beardless
безбрачный,celibate
безбровый,eyebrowless
безвинный,guiltless
безвозвратный,irretrievable
безвыездный,uninterrupted
безглазый,eyeless
безголосый,weak of voice
бездейственный,inactive
бездействующий,inactive
бездельный,idle
бездеятельный,inactive
бездоказательный,unsubstantiated
бездоходный,unprofitable
бездымный,smokeless
беззаконный,lawless
беззвёздный,starless
безземельный,landless
безлесный,treeless
безлиственный,leafless
